@relation 'df_distancia-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R3-5,9-10,13-19,21-24,28-40,42-43,46-53,55,57-59,61-62,65-67,69-73,76'

@attribute customer_state {SP,RJ}
@attribute total_payment_value numeric
@attribute total_freight numeric
@attribute total_weight_g numeric
@attribute total_volume_cm3 numeric
@attribute principal_category_by_price {utilidades_domesticas,cama_mesa_banho,brinquedos,beleza_saude,relogios_presentes,moveis_decoracao,informatica_acessorios,esporte_lazer}
@attribute principal_seller_state_by_price {SP,PR,MG,RJ}
@attribute purchase_year numeric
@attribute facturacion_promedio_t1 numeric
@attribute facturacion_mediana_t1 numeric
@attribute facturacion_std_t1 numeric
@attribute facturacion_total_7d_avg numeric
@attribute dias_entrega_promedio_7d_avg numeric
@attribute dias_entrega_promedio_t2 numeric
@attribute dias_entrega_promedio_prev_month numeric
@attribute es_post_domingo_festivo numeric
@attribute es_diciembre numeric
@attribute es_fin_de_semana_extendido numeric
@attribute distancia_km numeric
@attribute distancia_total_t1 numeric
@attribute distancia_total_prev_month numeric
@attribute delivery_days numeric

@data
SP,74.03,14.13,7000,32994,utilidades_domesticas,SP,2017,152.815196,104.28,195.164588,12760,13.279212,12.5,12.847377,0,0,0,51.490309,11223.852262,250979.635758,1
RJ,58,15.1,267,4320,utilidades_domesticas,SP,2018,150.340792,102.1,182.147188,32152.238571,13.564187,14.916667,13.715038,0,0,0,396.508105,25003.91727,458277.70975,15
RJ,53.2,28.2,300,19440,esporte_lazer,SP,2018,147.593276,104.715,166.697669,37965.977143,13.154252,13.464286,13.715038,0,0,0,330.741872,22628.129094,458277.70975,21
SP,84.57,14.58,1350,24750,cama_mesa_banho,SP,2018,149.366946,107.525,159.558268,39582.264286,14.742362,22.5,16.552935,0,0,0,300.303169,27903.143629,475528.215386,5
RJ,142.16,78.56,6900,56350,moveis_decoracao,SP,2017,152.045871,92.67,217.085211,26233.63,11.833202,11.265306,11.846389,0,0,1,349.642062,15981.130072,345715.109856,6
SP,141.9,12,1550,4692,cama_mesa_banho,SP,2018,146.780053,109.19,145.736922,42079.09,16.184607,13.259587,14.949342,0,0,0,150.245716,23647.490125,393740.533187,1
SP,113.62,13.72,1500,11232,cama_mesa_banho,SP,2017,138.376522,120.09,105.934625,15564.477143,10.502691,9.182482,11.140125,0,0,1,288.33388,353.729592,205372.622305,5
SP,95.52,16.54,200,8736,beleza_saude,SP,2017,184.298643,105.37,295.904466,24362.647143,13.283123,11.373874,11.886244,0,0,0,68.502249,11583.701444,291643.578332,5
RJ,68.59,13.6,300,1638,cama_mesa_banho,RJ,2018,144.009091,99.45,137.449058,8649.721429,9.637583,7.762376,11.552505,0,0,1,147.106927,2159.150194,489980.283895,11
RJ,141.67,11.77,1150,6900,esporte_lazer,RJ,2018,211.847647,160.14,210.419599,36035.785714,14.989747,13.3,14.586934,1,0,0,16.046643,7159.639564,422407.097607,3
